Timestamp_UNIX,Human_Time,VG1 Source Pressure,VG2 PreMag Pressure,VG3 BLine Pressure,VG2 LdLock Pressure,VG3 Cham 2 Pressure,VG4 Cham 1 Pressure
1775651782.7557647,2026-04-08 13:36:22.755765,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.770000134295515e-08,1.1800000088157958e-08,6.520000095378009e-09
1775651784.8020196,2026-04-08 13:36:24.802020,0.21899999678134918,4.349999827013562e-08,2.2300000068753434e-08,3.790000135950322e-08,1.1900000096431995e-08,6.600000101997239e-09
1775651786.8461928,2026-04-08 13:36:26.846193,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.790000135950322e-08,1.1900000096431995e-08,6.620000103652046e-09
1775651788.9091296,2026-04-08 13:36:28.909130,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.699999950868005e-08,1.1900000096431995e-08,6.560000098687624e-09
1775651790.9563725,2026-04-08 13:36:30.956372,0.21899999678134918,4.349999827013562e-08,2.2300000068753434e-08,3.759999955832427e-08,1.1800000088157958e-08,6.6100001028246425e-09
1775651793.0213032,2026-04-08 13:36:33.021303,0.21899999678134918,4.349999827013562e-08,2.2300000068753434e-08,3.7300001309859e-08,1.1800000088157958e-08,6.520000095378009e-09
1775651795.064332,2026-04-08 13:36:35.064332,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.7100001293310925e-08,1.1800000088157958e-08,6.560000098687624e-09
1775651797.1265204,2026-04-08 13:36:37.126520,0.21899999678134918,4.349999827013562e-08,2.2300000068753434e-08,3.799999959142042e-08,1.1800000088157958e-08,6.600000101997239e-09
1775651799.1758995,2026-04-08 13:36:39.175900,0.21899999678134918,4.349999827013562e-08,2.2300000068753434e-08,3.790000135950322e-08,1.1800000088157958e-08,6.55000009786022e-09
1775651801.2220242,2026-04-08 13:36:41.222024,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.799999959142042e-08,1.1800000088157958e-08,6.6100001028246425e-09
1775651803.2700253,2026-04-08 13:36:43.270025,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.770000134295515e-08,1.1800000088157958e-08,6.600000101997239e-09
1775651805.3108802,2026-04-08 13:36:45.310880,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.750000132640707e-08,1.1800000088157958e-08,6.580000100342431e-09
1775651807.3484626,2026-04-08 13:36:47.348463,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.799999959142042e-08,1.1800000088157958e-08,6.580000100342431e-09
1775651809.3973134,2026-04-08 13:36:49.397313,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.759999955832427e-08,1.1800000088157958e-08,6.620000103652046e-09
1775651811.4403534,2026-04-08 13:36:51.440353,0.21899999678134918,4.349999827013562e-08,2.2300000068753434e-08,3.7300001309859e-08,1.1900000096431995e-08,6.600000101997239e-09
1775651813.503984,2026-04-08 13:36:53.503984,0.21799999475479126,4.349999827013562e-08,2.2300000068753434e-08,3.770000134295515e-08,1.1800000088157958e-08,4.90999987334817e-08
1775651815.5489488,2026-04-08 13:36:55.548949,0.21899999678134918,4.36000000547665e-08,2.2300000068753434e-08,3.7799999574872345e-08,1.1800000088157958e-08,6.5400000970328165e-09
