Timestamp_UNIX,Human_Time,VG2 PreMag Pressure,VG3 BLine Pressure,VG2 LdLock Pressure,VG3 Cham 2 Pressure,VG4 Cham 1 Pressure
1775644200.2675674,2026-04-08 11:30:00.267567,3.7100001293310925e-08,1.8099999721243876e-08,3.179999907843012e-08,9.579999904474334e-09,5.830000038287153e-09
1775644202.3303003,2026-04-08 11:30:02.330300,3.7100001293310925e-08,1.8099999721243876e-08,3.1599999061882045e-08,9.579999904474334e-09,5.860000040769364e-09
1775644204.411329,2026-04-08 11:30:04.411329,3.7100001293310925e-08,1.8099999721243876e-08,3.130000081341677e-08,9.559999902819527e-09,5.870000041596768e-09
1775644206.4706783,2026-04-08 11:30:06.470678,3.7100001293310925e-08,1.8099999721243876e-08,3.139999904533397e-08,9.589999905301738e-09,5.870000041596768e-09
1775644208.539178,2026-04-08 11:30:08.539178,3.719999952522812e-08,1.8099999721243876e-08,3.150000082996485e-08,9.599999906129142e-09,5.890000043251575e-09
1775644210.585765,2026-04-08 11:30:10.585765,3.719999952522812e-08,1.8099999721243876e-08,3.219999911152627e-08,9.579999904474334e-09,5.820000037459749e-09
1775644212.6272516,2026-04-08 11:30:12.627252,3.719999952522812e-08,1.8099999721243876e-08,3.130000081341677e-08,9.56999990364693e-09,5.870000041596768e-09
1775644214.6597695,2026-04-08 11:30:14.659770,3.699999950868005e-08,1.8099999721243876e-08,3.150000082996485e-08,9.589999905301738e-09,5.880000042424172e-09
1775644216.7219164,2026-04-08 11:30:16.721916,3.719999952522812e-08,1.8199999729517913e-08,3.170000084651292e-08,9.589999905301738e-09,5.8500000399419605e-09
1775644218.7888317,2026-04-08 11:30:18.788832,3.699999950868005e-08,1.8099999721243876e-08,3.170000084651292e-08,9.629999908611353e-09,5.870000041596768e-09
1775644220.834583,2026-04-08 11:30:20.834583,3.719999952522812e-08,1.8099999721243876e-08,3.170000084651292e-08,9.599999906129142e-09,5.860000040769364e-09
1775644222.8635886,2026-04-08 11:30:22.863589,3.7100001293310925e-08,1.8099999721243876e-08,3.170000084651292e-08,9.61999990778395e-09,5.830000038287153e-09
1775644224.9127324,2026-04-08 11:30:24.912732,3.719999952522812e-08,1.8199999729517913e-08,3.199999909497819e-08,9.559999902819527e-09,5.830000038287153e-09
1775644226.9658427,2026-04-08 11:30:26.965843,3.7100001293310925e-08,1.8099999721243876e-08,3.1900000863060995e-08,9.53999990116472e-09,5.860000040769364e-09
1775644229.0482767,2026-04-08 11:30:29.048277,3.7100001293310925e-08,1.8199999729517913e-08,3.179999907843012e-08,9.53999990116472e-09,5.860000040769364e-09
1775644231.1159017,2026-04-08 11:30:31.115902,3.719999952522812e-08,1.8099999721243876e-08,3.170000084651292e-08,9.559999902819527e-09,5.840000039114557e-09
1775644233.1776345,2026-04-08 11:30:33.177634,3.719999952522812e-08,1.8099999721243876e-08,3.150000082996485e-08,9.579999904474334e-09,5.860000040769364e-09
1775644235.236806,2026-04-08 11:30:35.236806,3.719999952522812e-08,1.8199999729517913e-08,3.179999907843012e-08,9.589999905301738e-09,5.820000037459749e-09
1775644237.3136766,2026-04-08 11:30:37.313677,3.719999952522812e-08,1.8099999721243876e-08,3.150000082996485e-08,9.61999990778395e-09,5.890000043251575e-09
1775644239.3613381,2026-04-08 11:30:39.361338,3.7100001293310925e-08,1.8199999729517913e-08,3.150000082996485e-08,9.64999991026616e-09,5.830000038287153e-09
